,d,svr,en,rfr
396,1207,984.6542294549969,-5423.645368975678,1136.9119145878667
397,1200,950.4497526299212,-5378.857346809035,1100.8821325494323
398,1203,1028.9466221124492,-5389.291660108549,1165.3193811565836
399,1205,1023.1661259608757,-5402.163595238446,1191.8585920990563
400,1208,973.9468557985966,-5433.703140704209,1121.8336827119153
401,1210,946.5099808609127,-5457.911352202542,1104.8490660756174
402,1198,904.515941977209,-5373.704363803043,1047.549969357402
403,1202,1002.2992106659732,-5386.125743494967,1158.5440953215325
404,1201,983.8036635971002,-5380.890873383592,1119.066898969541
405,1204,1032.8118699480585,-5395.581179337877,1174.0523041924373
406,1209,960.1231943648728,-5446.605214835168,1092.3685526300844
407,1211,942.6142745494759,-5469.496054912521,1102.3733169836228
408,1213,880.9288919650787,-5492.540161213609,1059.9616143327098
409,907,-12990.649722719132,-6997.275309233379,-12966.525196917908
410,795,-15589.737143112383,-3994.0535511638277,-16887.106210022685
411,1048,-4314.37501620506,-6102.618962672894,-4198.028890274145
412,1214,819.1776706156656,-5508.535766410374,1002.3778145782898
413,1006,-5240.018572258948,-6126.831904088122,-5269.579889091436
414,1212,909.0042594373638,-5481.473868685403,1066.0323392830223
415,1215,775.3483538339615,-5522.653917034484,983.3102702789622
416,1217,706.9091268650278,-5550.124610918287,928.7672993510241
417,1084,-3942.2975001158547,-6273.278701729216,-3903.1524190041937
418,1219,657.7504631801947,-5572.943916822296,861.5221300853259
419,848,-16017.267769632585,-5774.301335531974,-17136.005528434518
420,990,-5963.277103455664,-6219.848197916746,-5995.296579059866
421,1223,476.8227294876647,-5635.4276147659875,678.1774726649338
422,1224,435.5636321358287,-5647.119810787601,643.8289935598339
423,1216,742.8696008555146,-5535.021411810898,956.4624175077954
424,1220,612.595844557733,-5589.352329796626,803.373842732883
425,1225,390.81021406347304,-5663.533606431589,592.8570630721244
426,1218,691.4229403006699,-5560.050908384473,907.8582933507191
427,1226,338.3194554664914,-5678.469769323468,547.3424306255109
428,980,-6344.8093119283785,-6244.594576730891,-6393.126738568403
429,1227,309.33247120142556,-5693.47234173445,488.5586151734086
430,1229,241.4883665926859,-5720.006653793811,432.0532757263512
431,1228,279.15811996362334,-5706.2652556827825,465.59611158266057
432,1232,220.47505748240928,-5759.939591312146,322.528580477741
433,1230,222.77886045435707,-5734.993579999396,382.9753374415618
434,1231,179.33743694755788,-5750.255644551475,344.622254684155
435,1236,159.1094599849573,-5788.266378217944,229.09518671557748
436,1234,185.84387076120913,-5775.949596429189,290.7702758544899
437,960,-7475.378139592087,-6389.162914872716,-7505.7473540639285
438,803,-15832.886367981533,-4264.986278997224,-17065.817281578584
439,1237,138.3880034185206,-5799.099471721025,198.6964250380804
440,1238,107.0940313562262,-5806.926079615165,172.5828609924904
